"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"2768","RT @morninggloria: Fuck Harvey Weinstein and fuck Steve Wynn and if you think one deserves condemnation and the other doesn’t: fuck you",FALSE,0,NA,2018-01-27 20:11:37,FALSE,NA,"957345372149600256",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","VanessaShark",145,TRUE,FALSE,NA,NA
"2769","RT @ImKaylaG: ICE wants to deport a man just honored for rebuilding homes after Hurricane Sandy  #DemForce  https://t.co/uMRlqBxEOL?amp=1",FALSE,0,NA,2018-01-27 20:11:37,FALSE,NA,"957345371474214912",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Locou9",59,TRUE,FALSE,NA,NA
"2770","RT @RoArquette: Just to be clear ..the first actress to go on record about Harvey Weinstein was Rose Mcgowan. Ronan farrow worked... https:…",FALSE,0,NA,2018-01-27 20:11:36,FALSE,NA,"957345367460163584",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Calzonafan2013",6,TRUE,FALSE,NA,NA
"2771","@hurricane_brett Yes mate , would have loved to go to that but it’s a nightmare to get to . #awaydays always the best",FALSE,1,"hurricane_brett",2018-01-27 20:11:36,FALSE,"957344805129998336","957345366386540544","146010795","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nikolidante",0,FALSE,FALSE,NA,NA
"2772","@StephenJosiah13 2013- best pitcher in baseball. 2015- best post tommy john season ever 2016- thoracic outlet syndr… https://t.co/YS1r7I35xB",FALSE,0,"StephenJosiah13",2018-01-27 20:11:36,TRUE,"957069564084449281","957345365417742336","304005327","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","zachdiamond420",0,FALSE,FALSE,NA,NA
"2773","RT @TheRickyDavila: 35% of Puerto Rico, 450K people are still without power. The US Virgin Islands and PR are still devastated. Parts of Fl…",FALSE,0,NA,2018-01-27 20:11:34,FALSE,NA,"957345356718755840",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>","vic77677",7240,TRUE,FALSE,NA,NA
"2774","RT @washingtonpost: Will RNC return Steve Wynn’s donations after calling on DNC to return Harvey Weinstein’s https://t.co/CmL04lo4wh",FALSE,0,NA,2018-01-27 20:11:31,FALSE,NA,"957345345121304576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Amanduex",3662,TRUE,FALSE,NA,NA
"2775","RT @evice7: So let me get this straight. An Indonesian Christian that fled religious persecution, has applied multiple times for asylum, &amp;…",FALSE,0,NA,2018-01-27 20:11:31,FALSE,NA,"957345343129100288",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","aolanisvd_",2452,TRUE,FALSE,NA,NA
"2776","RT @cheekycondor: 2000 children (including my little brother) in Liverpool just sang hurricane at the Echo Arena and it was amazing I liter…",FALSE,0,NA,2018-01-27 20:11:30,FALSE,NA,"957345340293898241",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","theonedaisyb",217,TRUE,FALSE,NA,NA
"2777","Will RNC return Steve Wynn’s donations after calling on DNC to return Harvey Weinstein’s?
https://t.co/zm5l4bft6S",FALSE,0,NA,2018-01-27 20:11:29,FALSE,NA,"957345337366237184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","johnkrantz1",0,FALSE,FALSE,NA,NA
"2778","RT @politico: 1/6 Last month, @woellert and @smahaskey traveled to Puerto Rico to reveal a housing crisis generations in the making. Tens o…",FALSE,0,NA,2018-01-27 20:11:29,FALSE,NA,"957345335503917057",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JuampiPa4",108,TRUE,FALSE,NA,NA
"2779","RT @NathanHRubin: Steve Wynn is the Harvey Weinstein of the Right, with one key difference. 

Weinstein wasn’t officially involved in any f…",FALSE,0,NA,2018-01-27 20:11:28,FALSE,NA,"957345331246637057",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","johndegarson",4978,TRUE,FALSE,NA,NA
